-31.3702	46.6912	22.2181
-41.5541	14.1574	-3.06885
0.187738	17.2906	46.8937
28.3574	46.0426	26.3957
42.5517	15.0846	-1.40439
-34.1474	-55.7263	-32.4421
35.5827	-57.6259	-31.8273
-55.8378	-14.4033	7.25988
55.5993	-7.10108	5.86643
13.3077	-15.7692	-1.53846
-13.2007	1.86951	19.6276
13.0403	3.35147	19.4624
-25.6868	-3.84573	11.5065
25.9778	-1.89495	10.9421
-19.532	-7.16203	8.49855
19.4336	-6.16293	7.83407
-3.17443	49.3749	13.6953
-47.567	-67.8763	34.5567
19.3139	38.3212	47.4015
0.650804	-53.2463	28.2289
2.29825	-14.8772	36.1228
49.9474	-63.5263	32.0526
-0.53636	-8.4636	4.1909
-23.5216	-28.5191	-12.7888
26.831	-22.5634	-17.1127
-29.1797	-87.4816	-0.767281
31.7236	-85.3437	-0.275164
-49.273	24.8436	-4.06442
-52.4444	-1.11111	-22
-52.1199	-31.0978	-5.80442
-53.9099	-55.1761	21.8338
49.2069	27.6897	-10.3793
54.9964	-42.5714	10.2423
-21.5852	-80.0593	-35.237
-30.0187	23.3937	48.9487
-39.9863	47.6247	-1.44622
-41.6882	-63.1498	45.5773
-58.6114	-42.2514	-12.04
36.4968	-68.6903	-43.1677
-14.5	-28	1.75
-39.0323	35.3763	29.914
-57.444	-37.6813	37.2846
-7.65306	-51.7959	61.2041
12	-27.8571	44.7857
20.7068	-47.8045	69.0827
59.2176	-32.2216	36.3693
-12.4366	-21.4085	5.15493
-33.4118	-41	-37.4706
-36.5614	-13.2807	-5.45614
12.6349	-14.4762	8.98413
35.8462	-42.9231	-40.4615
40.2985	-6.44776	-8.56716
2.18653	-27.5855	27.3921
2.92366	-71.5941	39.631
-36.1649	-62.3144	46.0928
38.7708	-62.0208	45.375
-0.387097	-73.5789	10.586
-17.5	-24	-3.5
38.0717	26.0946	42.3545
38.2472	54.2584	0.702247
47.7715	-53.6946	46.898
5.39759	37.1084	45.6386
-29.5447	-72.6475	-38.9238
13.2234	1.51064	14.1064
-33.3319	-20.6432	60.17
38.1494	-18.2849	56.9889
2.59119	-12.7044	60.5157
-11.6842	-19.1579	-0.947368
-2.44467	-51.7489	-19.0283
11.9	-20	-4.3
-12.1385	-57.8009	15.329
-24.3309	11.6593	54.9284
-28.3284	-37.1493	-15.0746
-36.0611	-81.3971	32.22
13.0542	-53.4271	14.2712
0.88912	-57.2389	53.9781
25.594	26.4762	45.0226
28.4444	-33.4667	-19.2667
43.2394	-74.4415	31.6729
14.642	-45.7778	-53.2099
-26.6686	-0.976331	54.0237
-35.7772	-46.3267	46.9297
-47.4661	13.124	26.6516
-48.6237	-64.7957	-5.89247
27.8557	1.58763	54.268
37.1869	-46.7863	48.0855
48.9018	11.5767	27.9202
50.0263	-58.5526	-10.6842
-27.3158	-72.4737	-51.9474
23.9542	-73.2977	-51.4962
34.4194	-70.2581	-25.6452
